Companies,Types,Years,Currencies,Account,Description,Period,Amount
PLATTERIVER,BUDGET,2015,Home,PR-570108-38-17-1 -    -      ,Maintenance of Vehicles and Equipme,7,40
PLATTERIVER,BUDGET,2015,Home,PR-570108-38-17-1 -    -      ,Maintenance of Vehicles and Equipme,8,40
PLATTERIVER,BUDGET,2015,Home,PR-570108-38-17-1 -    -      ,Maintenance of Vehicles and Equipme,9,40
PLATTERIVER,BUDGET,2015,Home,PR-570108-38-17-1 -    -      ,Maintenance of Vehicles and Equipme,10,40
PLATTERIVER,BUDGET,2015,Home,PR-570108-38-17-1 -    -      ,Maintenance of Vehicles and Equipme,11,40
PLATTERIVER,BUDGET,2015,Home,PR-570108-38-17-1 -    -      ,Maintenance of Vehicles and Equipme,12,40
PLATTERIVER,BUDGET,2015,Home,PR-570108-47-17-1 -    -      ,Maintenance of Vehicles and Equipme,1,"2,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-570108-47-17-1 -    -      ,Maintenance of Vehicles and Equipme,2,"2,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-570108-47-17-1 -    -      ,Maintenance of Vehicles and Equipme,3,"2,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-570108-47-17-1 -    -      ,Maintenance of Vehicles and Equipme,4,"2,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-570108-47-17-1 -    -      ,Maintenance of Vehicles and Equipme,5,"2,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-570108-47-17-1 -    -      ,Maintenance of Vehicles and Equipme,6,"2,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-570108-47-17-1 -    -      ,Maintenance of Vehicles and Equipme,7,"2,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-570108-47-17-1 -    -      ,Maintenance of Vehicles and Equipme,8,"2,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-570108-47-17-1 -    -      ,Maintenance of Vehicles and Equipme,9,"2,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-570108-47-17-1 -    -      ,Maintenance of Vehicles and Equipme,10,"2,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-570108-47-17-1 -    -      ,Maintenance of Vehicles and Equipme,11,"2,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-570108-47-17-1 -    -      ,Maintenance of Vehicles and Equipme,12,"2,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-570108-62-17-1 -    -      ,Maintenance of Vehicles and Equipme,1,400
PLATTERIVER,BUDGET,2015,Home,PR-570108-62-17-1 -    -      ,Maintenance of Vehicles and Equipme,2,400
PLATTERIVER,BUDGET,2015,Home,PR-570108-62-17-1 -    -      ,Maintenance of Vehicles and Equipme,3,400
PLATTERIVER,BUDGET,2015,Home,PR-570108-62-17-1 -    -      ,Maintenance of Vehicles and Equipme,4,400
PLATTERIVER,BUDGET,2015,Home,PR-570108-62-17-1 -    -      ,Maintenance of Vehicles and Equipme,5,400
PLATTERIVER,BUDGET,2015,Home,PR-570108-62-17-1 -    -      ,Maintenance of Vehicles and Equipme,6,400
PLATTERIVER,BUDGET,2015,Home,PR-570108-62-17-1 -    -      ,Maintenance of Vehicles and Equipme,7,400
PLATTERIVER,BUDGET,2015,Home,PR-570108-62-17-1 -    -      ,Maintenance of Vehicles and Equipme,8,400
PLATTERIVER,BUDGET,2015,Home,PR-570108-62-17-1 -    -      ,Maintenance of Vehicles and Equipme,9,400
PLATTERIVER,BUDGET,2015,Home,PR-570108-62-17-1 -    -      ,Maintenance of Vehicles and Equipme,10,400
PLATTERIVER,BUDGET,2015,Home,PR-570108-62-17-1 -    -      ,Maintenance of Vehicles and Equipme,11,400
PLATTERIVER,BUDGET,2015,Home,PR-570108-62-17-1 -    -      ,Maintenance of Vehicles and Equipme,12,400
PLATTERIVER,BUDGET,2015,Home,PR-570109-12-17-1 -    -      ,Maintenance of Substation Grounds  ,1,"1,703.00"
PLATTERIVER,BUDGET,2015,Home,PR-570109-12-17-1 -    -      ,Maintenance of Substation Grounds  ,2,"1,469.00"
PLATTERIVER,BUDGET,2015,Home,PR-570109-12-17-1 -    -      ,Maintenance of Substation Grounds  ,3,"1,599.00"
PLATTERIVER,BUDGET,2015,Home,PR-570109-12-17-1 -    -      ,Maintenance of Substation Grounds  ,4,"1,625.00"
PLATTERIVER,BUDGET,2015,Home,PR-570109-12-17-1 -    -      ,Maintenance of Substation Grounds  ,5,"1,523.00"
PLATTERIVER,BUDGET,2015,Home,PR-570109-12-17-1 -    -      ,Maintenance of Substation Grounds  ,6,"1,554.00"
PLATTERIVER,BUDGET,2015,Home,PR-570109-12-17-1 -    -      ,Maintenance of Substation Grounds  ,7,"1,662.00"
PLATTERIVER,BUDGET,2015,Home,PR-570109-12-17-1 -    -      ,Maintenance of Substation Grounds  ,8,"1,534.00"
PLATTERIVER,BUDGET,2015,Home,PR-570109-12-17-1 -    -      ,Maintenance of Substation Grounds  ,9,852
PLATTERIVER,BUDGET,2015,Home,PR-570109-12-17-1 -    -      ,Maintenance of Substation Grounds  ,10,"1,290.00"
PLATTERIVER,BUDGET,2015,Home,PR-570109-12-17-1 -    -      ,Maintenance of Substation Grounds  ,11,"1,638.00"
PLATTERIVER,BUDGET,2015,Home,PR-570109-12-17-1 -    -      ,Maintenance of Substation Grounds  ,12,"1,801.00"
PLATTERIVER,BUDGET,2015,Home,PR-570109-13-17-1 -    -      ,Maintenance of Substation Grounds  ,1,100
PLATTERIVER,BUDGET,2015,Home,PR-570109-13-17-1 -    -      ,Maintenance of Substation Grounds  ,2,100
PLATTERIVER,BUDGET,2015,Home,PR-570109-13-17-1 -    -      ,Maintenance of Substation Grounds  ,3,0
PLATTERIVER,BUDGET,2015,Home,PR-570109-13-17-1 -    -      ,Maintenance of Substation Grounds  ,4,0
PLATTERIVER,BUDGET,2015,Home,PR-570109-13-17-1 -    -      ,Maintenance of Substation Grounds  ,5,0
PLATTERIVER,BUDGET,2015,Home,PR-570109-13-17-1 -    -      ,Maintenance of Substation Grounds  ,6,0
PLATTERIVER,BUDGET,2015,Home,PR-570109-13-17-1 -    -      ,Maintenance of Substation Grounds  ,7,0
PLATTERIVER,BUDGET,2015,Home,PR-570109-13-17-1 -    -      ,Maintenance of Substation Grounds  ,8,0
PLATTERIVER,BUDGET,2015,Home,PR-570109-13-17-1 -    -      ,Maintenance of Substation Grounds  ,9,0
PLATTERIVER,BUDGET,2015,Home,PR-570109-13-17-1 -    -      ,Maintenance of Substation Grounds  ,10,0
PLATTERIVER,BUDGET,2015,Home,PR-570109-13-17-1 -    -      ,Maintenance of Substation Grounds  ,11,100
PLATTERIVER,BUDGET,2015,Home,PR-570109-13-17-1 -    -      ,Maintenance of Substation Grounds  ,12,100
PLATTERIVER,BUDGET,2015,Home,PR-570109-38-17-1 -    -      ,Maintenance of Substation Grounds  ,1,704
PLATTERIVER,BUDGET,2015,Home,PR-570109-38-17-1 -    -      ,Maintenance of Substation Grounds  ,2,622
PLATTERIVER,BUDGET,2015,Home,PR-570109-38-17-1 -    -      ,Maintenance of Substation Grounds  ,3,623
PLATTERIVER,BUDGET,2015,Home,PR-570109-38-17-1 -    -      ,Maintenance of Substation Grounds  ,4,633
PLATTERIVER,BUDGET,2015,Home,PR-570109-38-17-1 -    -      ,Maintenance of Substation Grounds  ,5,598
PLATTERIVER,BUDGET,2015,Home,PR-570109-38-17-1 -    -      ,Maintenance of Substation Grounds  ,6,606
PLATTERIVER,BUDGET,2015,Home,PR-570109-38-17-1 -    -      ,Maintenance of Substation Grounds  ,7,643
PLATTERIVER,BUDGET,2015,Home,PR-570109-38-17-1 -    -      ,Maintenance of Substation Grounds  ,8,603
PLATTERIVER,BUDGET,2015,Home,PR-570109-38-17-1 -    -      ,Maintenance of Substation Grounds  ,9,333
PLATTERIVER,BUDGET,2015,Home,PR-570109-38-17-1 -    -      ,Maintenance of Substation Grounds  ,10,503
PLATTERIVER,BUDGET,2015,Home,PR-570109-38-17-1 -    -      ,Maintenance of Substation Grounds  ,11,683
PLATTERIVER,BUDGET,2015,Home,PR-570109-38-17-1 -    -      ,Maintenance of Substation Grounds  ,12,737
PLATTERIVER,BUDGET,2015,Home,PR-570109-51-17-1 -    -      ,Maintenance of Substation Grounds  ,1,0
PLATTERIVER,BUDGET,2015,Home,PR-570109-51-17-1 -    -      ,Maintenance of Substation Grounds  ,2,0
PLATTERIVER,BUDGET,2015,Home,PR-570109-51-17-1 -    -      ,Maintenance of Substation Grounds  ,3,"4,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-570109-51-17-1 -    -      ,Maintenance of Substation Grounds  ,4,0
PLATTERIVER,BUDGET,2015,Home,PR-570109-51-17-1 -    -      ,Maintenance of Substation Grounds  ,5,0
